Name,Builder,Unit Tier,Gold Cost,Food Cost,Upgradeable,Max Upgrade Gold Cost,Total Food Cost with Upgrade,Base Unit Name,Upgraded Name,Base Min Hit,Base Max Hit,Attack Speed,Attack Speed Class,Range,Melee / Ranged,Hit Points,Mana,Attack Type,Defense Type,Attack Effectiveness Order,Attack Strength,Attack Weakness,Defense Effectiveness Order,Defense Strength,Defense Weakness,Abilities,Ability Type,Ability Description,Has Aura,Can Buff,Can Debuff,Can Splash,Can Heal,Can Stun,Can Summon,ID,Builder ID
dwarven engineer,demi-human,1,50,0,1,300,2,goblin scientist;,mutant;,21,27,1,fast,400,ranged,265,0,siege,light,fortified;unarmored;light;medium;heavy,fortified,light;medium;heavy,normal;siege;chaos;magic;pierce,normal;siege,pierce;,mortar;,splash - ground;,Attacks deal small splash damage to ground units.;,0,0,0,1,0,0,0,CNhmas2,SiWqdLo
mutant,demi-human,1,300,2,0,0,0,goblin scientist;dwarven engineer,null,209,220,1.3,fast,400,ranged,1600,0,siege,heavy,fortified;unarmored;light;medium;heavy,fortified,light;medium;heavy,pierce;normal;siege;chaos;magic,pierce;,magic;,inject steroids;,self buff - damage & hit points;,Buy steroids to increase damage by 25% and hitpoints by 20% for the next level only. This ability must be manually cast before the round starts.;,0,0,0,0,0,0,0,yhgPFpf,SiWqdLo
servant,demi-human,2,40,1,1,120,1,null,slavemaster;,25,35,1.5,average,100,melee,200,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,pierce;siege,normal;,null,null,null,0,0,0,0,0,0,0,SMnbuHU,SiWqdLo
slavemaster,demi-human,2,120,1,0,0,0,servant;,null,65,75,1,fast,100,melee,770,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,pierce;siege,normal;,slave trade;,gold;,When the round ends you will receive 2 gold for each surviving Servant and 3 gold for each surviving Slavemaster. However if all Slavemasters are dead no gold is received. Does not stack.;,0,0,0,0,0,0,0,Q09PxNx,SiWqdLo
tribesman,demi-human,3,80,1,1,140,2,null,alpha male;,26,35,0.8,very fast,325,ranged,385,20,pierce,medium,light;unarmored;medium;heavy;fortified,light,fortified;,magic;pierce;siege;chaos;normal,pierce;siege,normal;,throw net;,cc;,Traps an enemy binding it to the ground so that it cannot move. If cast on an air unit it will pull the unit into melee range. Lasts 7 seconds.;,0,0,1,0,0,0,0,yjMIRBR,SiWqdLo
alpha male,demi-human,3,140,1,0,0,0,tribesman;,null,56,67,0.8,very fast,325,ranged,900,0,pierce,medium,light;unarmored;medium;heavy;fortified,light,fortified;,magic;pierce;siege;chaos;normal,pierce;siege,normal;,throw net; fury,cc;self buff - attack speed,Traps an enemy binding it to the ground so that it cannot move. If cast on an air unit it will pull the unit into melee range. Lasts 7 seconds.;Has a 20% chance to increase attack speed by 60% for 3 seconds with each attack. Does not stack with itself.,0,0,1,0,0,0,0,GuB8TH8,SiWqdLo
medicine man,demi-human,4,110,1,1,160,2,null,oracle;,39,55,1.4,fast,500,ranged,450,25,magic,light,heavy;light;unarmored;medium;fortifed,heavy,fortified;,normal;siege;chaos;magic;pierce,siege;,pierce;,mend;,heal;,Calls forth a wave of healing energy that bounces up to 4 times healing 90 hit points on the primary target. Each jump heals 25% less hitpoints.;,0,0,0,0,1,0,0,IGQs0S6,SiWqdLo
oracle,demi-human,4,160,1,0,0,0,medicine man;,null,87,109,1.4,fast,500,ranged,935,0,magic,light,heavy;light;unarmored;medium;fortifed,heavy,fortified;,normal;siege;chaos;magic;pierce,siege;,pierce;,guardian spirit;,buff;,At the beginning of the level creates guardian spirits above adjacent units causing them to take only 77% of all incoming damage. Lasts the entire level.;,0,1,0,0,0,0,0,wBXjAMr,SiWqdLo
harlot,demi-human,5,180,1,1,180,2,null,mistress;,100,108,1.05,fast,100,melee,835,0,pierce,heavy,light;unarmored;medium;heavy;fortified,light,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic;,null,null,null,0,0,0,0,0,0,0,MQgAo0E,SiWqdLo
mistress,demi-human,5,180,1,0,0,0,harlot;,null,153,169,1.05,fast,100,melee,1580,40,pierce,heavy,light;unarmored;medium;heavy;fortified,light,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic;,seduce;,debuff - miss,Seduces enemy units in a small area causes them to miss on 30% of their attacks but increase their attack speed by 10%. Lasts 7 seconds.;,0,0,1,0,0,0,0,g0F23dj,SiWqdLo
minotaur,demi-human,6,275,2,1,325,4,null,bigfoot;,128,152,1.2,fast,100,melee,1415,15,normal,heavy,medium;unarmored;light;heavy;fortified,medium,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic;,tremor;,stun;,Slams the ground dealing 20 damage and slowing the movement and attack speed of nearby enemy units by 10% for 4 seconds. Affects ground enemies only.;,0,0,1,1,0,1,0,MKHnfTI,SiWqdLo
bigfoot,demi-human,6,325,2,0,0,0,minotaur;,null,233,257,1.2,fast,90,melee,2465,20,normal,heavy,medium;unarmored;light;heavy;fortified,medium,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic;,fissure;,stun;,Rips open the ground dealing 75 damage and stunning enemy ground units for 1 second.;,0,0,0,1,0,1,0,AqHN7j3,SiWqdLo
proton,element,1,20,1,1,140,1,null,adept;,13,13,1.25,fast,250,ranged,100,0,chaos,light,all;,equal,equal;,normal;siege;chaos;magic;pierce,normal;siege,pierce;,null,null,null,0,0,0,0,0,0,0,Ony2akE,7JL4Ue6
adept,element,1,140,0,0,0,0,proton;,null,100,100,1.45,fast,250,ranged,560,0,chaos,light,all;,equal,equal;,normal;siege;chaos;magic;pierce,normal;siege,pierce;,null,null,null,0,0,0,0,0,0,0,9lygJVo,7JL4Ue6
aqua spirit,element,2,50,1,1,130,1,null,oceanus;,13,18,0.8,very fast,375,ranged,200,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,water splash;,splash;,Attacks bounce to strike one additional nearby enemy.;,0,0,0,1,0,0,0,5KSskgN,7JL4Ue6
oceanus,element,2,130,0,0,0,0,aqua spirit;,null,49,54,0.9,very fast,375,ranged,575,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,deluge;,splash;,Attacks bounce to strike two additional nearby enemies. Improved range over Water Splash.;,0,0,0,1,0,0,0,tMJ5dMl,7JL4Ue6
watcher,element,3,80,1,1,120,2,null,violet;,36,42,0.9,very fast,300,ranged,335,0,magic,light,heavy;light;unarmored;medium;fortifed,heavy,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce;,null,null,null,0,0,0,0,0,0,0,AJLWUTq,7JL4Ue6
violet,element,3,120,1,0,0,0,watcher;,null,51,61,0.8,very fast,300,ranged,850,0,magic,medium,heavy;light;unarmored;medium;fortifed,heavy,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,blue wind;,splash;,Sends currents of wind at nearby enemies dealing 10 damage each gust (3 gusts per second).;,0,0,0,1,0,0,0,pZcH4wv,7JL4Ue6
mudman,element,4,130,1,1,170,2,null,golem;,75,81,1.35,fast,100,melee,735,0,normal,heavy,medium;unarmored;light;heavy;fortified,medium,fortified;,pierce;normal;siege;chaos;magic,pierce;,normal;siege,null,null,null,0,0,0,0,0,0,0,8dfzzWO,7JL4Ue6
golem,element,4,170,1,0,0,0,mudman;,null,166,180,1.3,fast,100,melee,1490,0,siege,heavy,fortified;unarmored;light;medium;heavy,fortified,light;medium;heavy,pierce;normal;siege;chaos;magic,pierce;,normal;siege,null,null,null,0,0,0,0,0,0,0,dOjuE5d,7JL4Ue6
disciple,element,5,200,2,1,260,3,null,messiah;,57,71,1,fast,550,ranged,670,50,pierce,light,light;unarmored;medium;heavy;fortified,light,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce;,mana burst;,damage;,Uses mana to add 60 bonus damage to an attack.;,0,0,0,0,0,0,0,mHcJ9cu,7JL4Ue6
messiah,element,5,260,1,0,0,0,disciple;,null,119,125,0.9,very fast,550,ranged,1085,50,magic,light,heavy;light;unarmored;medium;fortifed,heavy,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce;,mana burst;amplify magic,damage; aura - regen,Uses mana to add 60 bonus damage to an attack.;Increases nearby friendly units' mana regeneration by 5% of max per second.,1,1,0,0,0,0,0,doCHKIV,7JL4Ue6
seer of darkness,element,6,345,2,1,400,4,null,fenix;,142,156,1,fast,400,ranged,1050,160,magic,medium,heavy;light;unarmored;medium;fortifed,heavy,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,energy shield;,defence - shield;,Uses mana to nullify enemy attacks. Every 1 point of mana negates 4 damage. Affects 90% of incoming damage.;,0,0,0,0,0,0,0,Mb3Y9sE,7JL4Ue6
fenix,element,6,400,2,0,0,0,seer of darkness;,null,193,205,0.98,very fast,400,ranged,1700,350,magic,medium,heavy;light;unarmored;medium;fortifed,heavy,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,energy shield;focus energy,defence - shield;damage,Uses mana to nullify enemy attacks. Every 1 point of mana negates 4 damage. Affects 90% of incoming damage.;Adds 1 bonus damage to every attack for every 3 points of current mana. This skill does not consume mana itself.,0,0,0,0,0,0,0,1SZbF25,7JL4Ue6
colt,elf,1,20,1,1,100,2,null,rider;,10,12,1,fast,100,melee,90,0,normal,unarmored,medium;unarmored;light;heavy;fortified,medium,fortified;,all;,all;,all;,null,null,null,0,0,0,0,0,0,0,9SWJqQU,xiBjarE
rider,elf,1,100,1,0,0,0,colt;,null,66,70,1.1,fast,200,melee,400,0,pierce,unarmored,light;unarmored;medium;heavy;fortified,light,fortified;,all;,all;,all;,null,null,null,0,0,0,0,0,0,0,GCOkeCx,xiBjarE
novice,elf,2,40,1,1,110,1,null,crusader;,18,20,1,fast,100,melee,210,0,normal,light,medium;unarmored;light;heavy;fortified,medium,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce;,null,null,null,0,0,0,0,0,0,0,nOkleOD,xiBjarE
crusader,elf,2,110,0,0,0,0,novice;,null,52,60,0.8,very fast,100,melee,770,0,normal,heavy,medium;unarmored;light;heavy;fortified,medium,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic;,null,null,null,0,0,0,0,0,0,0,fwXymVt,xiBjarE
sentry,elf,3,80,1,1,160,2,null,nightsaber;,16,24,1,fast,400,ranged,350,0,pierce,medium,light;unarmored;medium;heavy;fortified,light,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,magic missile;,damage;,Deals 20 damage with each attack.;,0,0,0,0,0,0,0,0fjviLI,xiBjarE
nightsaber,elf,3,160,1,0,0,0,sentry;,null,50,54,0.8,very fast,400,ranged,850,0,pierce,medium,light;unarmored;medium;heavy;fortified,light,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,moon glaive;,splash;,Gives the Huntress the ability to strike additional units with her bouncing glaive attacks.;,0,0,0,1,0,0,0,2NoO9OJ,xiBjarE
prisoner,elf,4,125,1,1,170,3,null,maverick;,41,47,0.8,very fast,300,ranged,550,0,chaos,fortified,all;,equal,equal;,pierce;magic;normal;chaos;siege,pierce;magic,siege;,null,null,null,0,0,0,0,0,0,0,zMna32S,xiBjarE
maverick,elf,4,170,2,0,0,0,prisoner;,null,95,101,1,fast,300,ranged,920,30,chaos,medium,all;,equal,equal;,magic;pierce;siege;chaos;normal,magic;,normal;,mirage;,summon;,Confuses the enemy by creating an illusion illusions deal 50% and take 200% damage. Lasts 60 seconds.;,0,0,0,0,0,0,1,Dv5LglV,xiBjarE
druid,elf,5,200,2,1,220,3,null,sword mage;ascendant,76,84,1,fast,500,ranged,815,10,magic,unarmored,heavy;light;unarmored;medium;fortifed,heavy,fortified;,all;,all;,all;,wrath of nature;,splash;,Calls forth a bolt of lightning that bounces up to 5 times dealing 100 damage on the primary target. Each jump deals less damage.;,0,0,0,1,0,0,0,pgj6iet,xiBjarE
sword mage,elf,5,220,1,0,0,0,druid;,null,120,130,0.9,very fast,180,melee,1850,12,magic,medium,heavy;light;unarmored;medium;fortifed,heavy,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,enchant fire;,damage;,Enchants weapon with fire adding 60 bonus fire damage on attacks.;,0,0,0,0,0,0,0,94U2yve,xiBjarE
ascendant,elf,5,220,1,0,0,0,druid;,null,111,121,0.8,very fast,500,ranged,1450,10,magic,unarmored,heavy;light;unarmored;medium;fortifed,heavy,fortified;,all;,all;,all;,faerie fire;,debuff - armor;,Reduce enemy's armor by 4. Last 5 seconds.;,0,0,1,0,0,0,0,RQP6yHg,xiBjarE
moon guard,elf,6,300,2,1,350,4,null,warden;,79,89,0.6,very fast,100,melee,1350,10,normal,heavy,medium;unarmored;light;heavy;fortified,medium,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic;,fan of knives;,splash;,The Moon Guard hurls a flurry of knives damaging nearby enemies. Each knife does 60 damage. Max 5 targets only.;,0,0,0,1,0,0,0,Wr3ZpLh,xiBjarE
warden,elf,6,350,2,0,0,0,moon guard;,null,70,80,0.5,very fast,100,melee,2670,0,normal,heavy,medium;unarmored;light;heavy;fortified,medium,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic;,coupe de grace;,damage;,The Warden backstabs enemies with every hit and has a 10% chance to evade an attack.;,0,0,0,0,0,0,0,Mvo9DQd,xiBjarE
specter,ghost,1,25,1,1,90,1,null,wraith;,4,5,0.33,very fast,500,ranged,75,0,magic,unarmored,heavy;light;unarmored;medium;fortifed,heavy,fortified;,all;,all;,all;,phase out;,defence - evade;,Has a 15% chance to dodge an attack.;,0,0,0,0,0,0,0,dEMZ7kO,5CWwLT4
wraith,ghost,1,90,0,1,150,1,specter;,mercurial;,14,20,0.33,very fast,600,ranged,230,30,magic,unarmored,heavy;light;unarmored;medium;fortifed,heavy,fortified;,all;,all;,all;,disturb;,slow;,Slows an enemy's attack rate by 20% and movement by 20% for 7 seconds.;,0,0,1,0,0,0,0,MpWGK8F,5CWwLT4
mercurial,ghost,1,150,1,0,0,0,specter;wraith,null,35,40,0.33,very fast,650,ranged,440,30,magic,unarmored,heavy;light;unarmored;medium;fortifed,heavy,fortified;,all;,all;,all;,traumatize;,slow;,Slows an enemy's attack rate by 30% and movement by 40% for 7 seconds.;,0,0,1,0,0,0,0,8BUy5mr,5CWwLT4
wanderer,ghost,2,50,1,1,120,1,null,soul of hero;soul of villain,16,20,0.9,very fast,100,melee,285,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,null,null,null,0,0,0,0,0,0,0,Lck299l,5CWwLT4
soul of hero,ghost,2,120,0,0,0,0,wanderer;,null,67,71,1,fast,100,melee,835,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,change stance;,self buff - damage or defence;,Change to attacking stance to deal more damage. Change to defensive stance for more hit points.;,0,0,0,0,0,0,0,UcKv7gZ,5CWwLT4
soul of villain,ghost,2,120,0,0,0,0,wanderer;,null,74,80,1.2,fast,400,ranged,530,0,magic,light,heavy;light;unarmored;medium;fortifed,heavy,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce;,violate;,debuff - armor;,Attacks reduce the armor of enemy units by 4 for 15 seconds.;,0,0,1,0,0,0,0,YRFd1Sb,5CWwLT4
phantom,ghost,3,125,1,1,130,2,null,hell raiser;,0,0,1.6,average,250,ranged,475,15,magic,light,heavy;light;unarmored;medium;fortifed,heavy,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce;,silent scream;,aura - damage;,Deals 30 damage to up to 3 units around the Phantom.;,1,0,0,0,0,0,0,fq339R8,5CWwLT4
hell raiser,ghost,3,130,1,0,0,0,phantom;,null,0,0,1.25,fast,250,ranged,580,15,magic,light,heavy;light;unarmored;medium;fortifed,heavy,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce;,cacophony;,aura - damage;,Deals 55 damage to up to 3 units around the Hell Raiser.;,1,0,0,0,0,0,0,dQZVFb8,5CWwLT4
outcast,ghost,4,200,2,1,210,3,null,forsaken one;,73,80,0.85,very fast,100,melee,1040,0,normal,heavy,medium;unarmored;light;heavy;fortified,medium,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic;,null,null,null,0,0,0,0,0,0,0,2GAuVEE,5CWwLT4
forsaken one,ghost,4,210,1,0,0,0,outcast;,null,105,119,0.75,very fast,90,melee,1705,0,siege,heavy,fortified;unarmored;light;medium;heavy,fortified,light;medium;heavy,pierce;normal;siege;chaos;magic,pierce;,magic;,insanity;,self buff;,Has a 33% chance to gain the Insanity buff for 6 seconds with each attack. Insanity increases damage by 20% armor by 10. Does not stack with itself.;,0,0,0,0,0,0,0,bV1qJLi,5CWwLT4
apparition,ghost,5,250,2,1,200,3,null,gravekeeper;,118,130,1,fast,500,ranged,665,0,pierce,medium,light;unarmored;medium;heavy;fortified,light,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,sickness aura;,aura - reduce enemy damage;,Decreases the damage of nearby enemies by 5%. (Stackable with Despair Aura).;,1,0,1,0,0,0,0,0BPf56O,5CWwLT4
gravekeeper,ghost,5,200,1,0,0,0,apparition;,null,209,219,1,fast,500,ranged,1025,0,pierce,medium,light;unarmored;medium;heavy;fortified,light,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,despair aura;,aura - reduce enemy damage;,Decreases the damage of nearby enemies by 10%. (Stackable with Sickness Aura).;,1,0,1,0,0,0,0,6z8LiH9,5CWwLT4
dark priest,ghost,6,325,2,1,350,4,null,meridian;,100,121,0.82,very fast,700,ranged,690,50,magic,unarmored,heavy;light;unarmored;medium;fortifed,heavy,fortified;,all;,all;,all;,haunting;,slow - attack;,Haunts an enemy dealing 45 damage per second and slowing attack speed by 25% for 8 seconds.;,0,0,1,0,0,0,0,Quvo2I7,5CWwLT4
